"title","field_expo_lieu_value","field_expo_type_value","field_expo_dates_value","field_expo_dates_value2","field_expo_curator_value","field_expo_code_value","filepaths"
"Parallèle","Hôtel particulier Madrid (ESP)","groupe","1992-05-01T00:00:00","1992-06-01T00:00:00","Galerie Yvonamor Palix ","1992-E-MADRIDPALIX","sites/default/files/media/images/24cl128expoparllele92_0.jpg,sites/default/files/media/images/24cl130.jpg,sites/default/files/media/images/24cl154.jpg,sites/default/files/media/images/1992-e-palix.jpg"
"Parcours d'images","Galerie art & essai, Rennes (FRA)","groupe","1990-01-01T00:00:00","1990-01-01T00:00:00",NULL,"1990-E-RENNESARTESSAI",NULL
"Paris en direct?","Paris","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2006-E-PARISAENDIRECT","sites/default/files/media/images/2006-e-parisaendirect-1.jpg,sites/default/files/media/images/2006-e-parisaendirect-2.jpg,sites/default/files/media/images/2006-e-parisaendirect-3.jpg,sites/default/files/media/images/2006-e-parisaendirect-4.jpg,sites/default/files/media/images/2006-e-parisaendirect-5.jpg,sites/default/files/media/images/2006-e-parisaendirect-6.jpg,sites/default/files/media/images/2006-e-parisaendirect-7.jpg,sites/default/files/media/images/2006-e-parisaendirect-8.jpg"
"Paris Fnac","Fnac / Forum des Halles, Paris (FRA)","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2009-E-PARISFNAC","sites/default/files/media/images/2009-e-parisfnac-4.jpg,sites/default/files/media/images/2009-e-parisfnac-3.jpg,sites/default/files/media/images/2009-e-parisfnac-2.jpg,sites/default/files/media/images/2009-e-parisfnac-1.jpg"
"Paris gare de l'est","Paris gare de l'est","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2008-E-PARISGDELEST","sites/default/files/media/images/2008-e-parisgdelest-1.jpg,sites/default/files/media/images/2008-e-parisgdelest-2.jpg,sites/default/files/media/images/2008-e-parisgdelest-3.jpg,sites/default/files/media/images/2008-e-parisgdelest-4.jpg"
"Paris Grand Palais","Paris Grand Palais","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2009-E-PARISGPALAIS","sites/default/files/media/images/2009-e-parisgpalais-7.jpg,sites/default/files/media/images/2009-e-parisgpalais-6.jpg,sites/default/files/media/images/2009-e-parisgpalais-5.jpg,sites/default/files/media/images/2009-e-parisgpalais-4.jpg,sites/default/files/media/images/2009-e-parisgpalais-3.jpg,sites/default/files/media/images/2009-e-parisgpalais-2.jpg,sites/default/files/media/images/2009-e-parisgpalais-1.jpg"
"Paris guerlain","Paris","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2008-E-PARISGUERLAIN","sites/default/files/media/images/2008-e-parisguerlain-1.jpg,sites/default/files/media/images/2008-e-parisguerlain-2.jpg,sites/default/files/media/images/2008-e-parisguerlain-3.jpg,sites/default/files/media/images/2008-e-parisguerlain-4.jpg,sites/default/files/media/images/2008-e-parisguerlain-5.jpg,sites/default/files/media/images/2008-e-parisguerlain-6.jpg"
"Paris loft 19","Paris Loft 19","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2008-E-PARISLOFT19FF","sites/default/files/media/images/2008-e-parisloft19ff-1.jpg,sites/default/files/media/images/2008-e-parisloft19ff-2.jpg,sites/default/files/media/images/2008-e-parisloft19ff-3.jpg"
"Paris maison et objet","Paris","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2006-E-PARISMOBJET","sites/default/files/media/images/2006-e-parismobjet-1.jpg,sites/default/files/media/images/2006-e-parismobjet-2.jpg,sites/default/files/media/images/2006-e-parismobjet-3.jpg"
"Paris tai ping","Paris","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2006-E-PARISTAIPING","sites/default/files/media/images/2006-e-paristaiping-1.jpg,sites/default/files/media/images/2006-e-paristaiping-2.jpg,sites/default/files/media/images/2006-e-paristaiping-3.jpg,sites/default/files/media/images/2006-e-paristaiping-4.jpg,sites/default/files/media/images/2006-e-paristaiping-5.jpg,sites/default/files/media/images/2006-e-paristaiping-6.jpg,sites/default/files/media/images/2006-e-paristaiping-7.jpg,sites/default/files/media/images/2006-e-paristaiping-8.jpg,sites/default/files/media/images/2006-e-paristaiping-9.jpg,sites/default/files/media/images/2006-e-paristaiping-10.jpg"
